File,N.sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
13528.txt,46,944,1494,20.52173913043478,1.5826271186440677,10.883260869565216
11459.txt,45,815,1232,18.11111111111111,1.5116564417177913,9.129768234492161
4671.txt,35,337,491,9.628571428571428,1.456973293768546,5.261142009325987
6072.txt,42,401,577,9.547619047619047,1.4389027431421446,5.0171476071725465
10753.txt,46,714,1154,15.521739130434783,1.6162464985994398,9.379969553038606
2572.txt,46,559,801,12.152173913043478,1.4329159212880143,5.936233958155093
10035.txt,53,877,1285,16.547169811320753,1.4652223489167617,7.987548245519676
3863.txt,52,737,1126,14.173076923076923,1.5278154681139755,7.823991754514143
3877.txt,55,866,1404,15.745454545454546,1.6212471131639723,9.5239886626076
7152.txt,51,668,942,13.098039215686274,1.410179640718563,6.027374662439829
8249.txt,42,792,1253,18.857142857142858,1.582070707070707,10.24414862914863
10545.txt,49,519,780,10.591836734693878,1.5028901734104045,6.169002005426446
935.txt,49,426,548,8.693877551020408,1.2863849765258215,2.893016192392448
7608.txt,54,637,981,11.796296296296296,1.5400313971742543,7.064963079248795
11129.txt,44,825,1210,18.75,1.4666666666666666,8.841666666666665
3491.txt,41,685,987,16.70731707317073,1.4408759124087591,7.761116254228234
11868.txt,22,564,914,25.636363636363637,1.6205673758865249,13.274513217279178
12385.txt,41,749,1125,18.26829268292683,1.5020026702269693,9.075582728190433
5625.txt,42,703,945,16.738095238095237,1.3442389758179232,6.632496105127686
13662.txt,53,1015,1499,19.150943396226417,1.476847290640394,9.114156520122688
5143.txt,43,917,1541,21.325581395348838,1.6804798255179934,12.343382871344883
4249.txt,38,390,533,10.263157894736842,1.3666666666666667,4.436666666666671
1331.txt,52,937,1450,18.01923076923077,1.5474919957310567,9.517713241934164
3240.txt,48,918,1439,19.125,1.5675381263616557,10.174449891067535
10357.txt,51,636,947,12.470588235294118,1.4889937106918238,6.718949315575287
12554.txt,37,807,1344,21.81081081081081,1.6654275092936803,12.350152717773536
10343.txt,35,923,1567,26.37142857142857,1.6977248104008666,14.464295619873088
7797.txt,54,681,975,12.61111111111111,1.4317180616740088,6.096495349975527
7783.txt,52,953,1488,18.326923076923077,1.5613850996852046,9.798574945516187
2412.txt,43,838,1336,19.488372093023255,1.594272076372315,10.627991896542156
14455.txt,63,1326,2029,21.047619047619047,1.5301659125188536,10.464053005817714
12030.txt,27,252,375,9.333333333333334,1.4880952380952381,5.516190476190477
4077.txt,36,306,460,8.5,1.5032679738562091,5.3785620915032695
12959.txt,37,332,512,8.972972972972974,1.5421686746987953,6.017320091175513
10182.txt,51,861,1297,16.88235294117647,1.5063879210220674,8.600671585707456
10183.txt,56,1447,2216,25.839285714285715,1.5314443676572218,12.299972109783791
10801.txt,59,1543,2174,26.152542372881356,1.4089436163318212,10.973500774410407
5368.txt,49,807,1269,16.46938775510204,1.5724907063197027,9.22375768151127
13475.txt,33,794,1343,24.060606060606062,1.6914357682619647,13.51197236852149
13688.txt,32,376,534,11.75,1.4202127659574468,5.633510638297874
3282.txt,50,528,777,10.56,1.4715909090909092,5.787572727272728
11909.txt,61,894,1355,14.655737704918034,1.5156599552572707,7.86396779990465
4506.txt,48,802,1236,16.708333333333332,1.541147132169576,8.944702826267662
5618.txt,40,712,1121,17.8,1.574438202247191,9.752370786516856
9022.txt,41,485,679,11.829268292682928,1.4,5.425121951219513
7769.txt,46,707,1105,15.369565217391305,1.5629420084865628,8.693150482750138
1442.txt,51,656,940,12.862745098039216,1.4329268292682926,6.206379722620756
9195.txt,54,907,1372,16.796296296296298,1.5126791620727673,8.642206705051251
7806.txt,51,761,1098,14.92156862745098,1.442838370565046,7.105688851098915
9817.txt,33,244,344,7.393939393939394,1.4098360655737705,3.8557625434674634
10236.txt,45,915,1414,20.333333333333332,1.5453551912568306,10.37185792349727
6517.txt,62,1021,1588,16.467741935483872,1.555337904015671,9.02072920286879
11896.txt,47,712,1091,15.148936170212766,1.5323033707865168,8.247775519961749
11672.txt,57,720,1159,12.631578947368421,1.6097222222222223,8.204722222222223
1250.txt,55,597,865,10.854545454545455,1.4489112227805696,5.631879701537997
6098.txt,48,820,1222,17.083333333333332,1.4902439024390244,8.486544715447156
11470.txt,47,925,1417,19.680851063829788,1.5318918918918918,9.965047728579645
13265.txt,48,953,1374,19.854166666666668,1.441762854144806,8.967385012242044
7421.txt,41,1081,1726,26.365853658536587,1.5966697502312674,13.269727442972862
14250.txt,38,929,1455,24.44736842105263,1.566200215285253,12.181162540365985
12806.txt,49,774,1129,15.795918367346939,1.458656330749354,7.624593682434217
10787.txt,41,894,1340,21.804878048780488,1.4988814317673378,10.382654553391173
2029.txt,47,389,534,8.27659574468085,1.3727506426735219,3.7535639665262828
1252.txt,46,495,736,10.76086956521739,1.486868686868687,6.044180939833115
13715.txt,54,577,766,10.685185185185185,1.3275563258232235,4.1355350150844075
11664.txt,34,660,989,19.41176470588235,1.4984848484848485,9.468591800356506
5752.txt,60,658,996,10.966666666666667,1.513677811550152,6.438731509625125
12437.txt,36,309,426,8.583333333333334,1.3786407766990292,3.939627831715214
14046.txt,45,444,631,9.866666666666667,1.4211711711711712,4.929153153153155
7192.txt,57,651,871,11.421052631578947,1.337941628264209,4.537711213517664
8316.txt,55,631,913,11.472727272727273,1.4469096671949286,5.843170436536521
5632.txt,51,571,811,11.196078431372548,1.4203152364273204,5.42422959376395
1326.txt,57,890,1401,15.614035087719298,1.5741573033707865,8.918389513108615
11076.txt,43,664,976,15.44186046511628,1.4698795180722892,7.622485289997201
10354.txt,44,410,591,9.318181818181818,1.4414634146341463,4.960177383592015
8458.txt,50,782,1144,15.64,1.462915601023018,7.615604092071614
3727.txt,46,676,1035,14.695652173913043,1.5310650887573964,8.060915873424232
1642.txt,41,795,1316,19.390243902439025,1.6553459119496856,11.311374443933119
5342.txt,47,596,872,12.680851063829786,1.4630872483221478,6.493152934456663
7555.txt,46,959,1525,20.847826086956523,1.5901981230448383,11.096511764972572
498.txt,37,889,1420,24.027027027027028,1.5973003374578179,12.388414252272522
6111.txt,41,814,1344,19.853658536585368,1.651105651105651,11.437436926949122
6688.txt,42,452,667,10.761904761904763,1.4756637168141593,5.912355667930893
12966.txt,60,608,911,10.133333333333333,1.4983552631578947,5.941258771929824
10194.txt,29,668,1087,23.03448275862069,1.627245508982036,12.364600454263886
12973.txt,45,817,1348,18.155555555555555,1.649938800489596,10.778388956888346
13338.txt,52,535,761,10.288461538461538,1.422429906542056,5.104288281811648
7568.txt,30,635,958,21.166666666666668,1.5086614173228345,10.255538057742783
10143.txt,36,738,1152,20.5,1.5609756097560976,10.619512195121953
8129.txt,51,672,1008,13.176470588235293,1.5,7.117058823529415
9237.txt,51,865,1283,16.96078431372549,1.4832369942196533,8.357294571007596
8667.txt,55,534,790,9.709090909090909,1.4794007490636705,5.5563833844058585
3732.txt,49,620,906,12.653061224489797,1.461290322580645,6.461389071757733
4049.txt,45,695,1033,15.444444444444445,1.4863309352517986,7.817593924860116
5357.txt,46,897,1436,19.5,1.600891861761427,10.710523968784841
11936.txt,47,933,1347,19.851063829787233,1.4437299035369775,8.989417117055485
3295.txt,53,1144,2026,21.58490566037736,1.770979020979021,13.509816598495846
6306.txt,45,743,1151,16.511111111111113,1.5491251682368776,8.96389920741738
1327.txt,65,1294,2007,19.907692307692308,1.5510046367851622,10.276777790987992
13674.txt,46,956,1512,20.782608695652176,1.5815899581589958,10.97015281062398
1333.txt,44,419,551,9.522727272727273,1.3150357995226731,3.5460587980039087
9196.txt,59,750,1067,12.711864406779661,1.4226666666666667,6.027975141242937
13927.txt,30,431,647,14.366666666666667,1.5011600928074247,7.583022428460946
2941.txt,33,542,809,16.424242424242426,1.492619926199262,8.264127250363416
5948.txt,37,724,1096,19.56756756756757,1.5138121546961325,9.708659101090038
4465.txt,52,937,1447,18.01923076923077,1.544290288153682,9.47993309252114
11665.txt,38,318,413,8.368421052631579,1.29874213836478,2.9151572327044057
3336.txt,58,697,1043,12.017241379310345,1.4964131994261118,6.63422747736605
14292.txt,38,935,1473,24.605263157894736,1.5754010695187166,12.349732620320854
1904.txt,52,723,987,13.903846153846153,1.3651452282157677,5.802175231407595
4854.txt,60,822,1215,13.7,1.4781021897810218,7.057605839416059
10962.txt,29,446,705,15.379310344827585,1.5807174887892377,8.906604298747489
8908.txt,63,1127,1604,17.88888888888889,1.4232475598935226,8.002098984521346
2564.txt,77,1149,1796,14.922077922077921,1.5630983463881636,8.524950097769942
14245.txt,46,851,1225,18.5,1.4394829612220916,8.425898942420684
1079.txt,47,398,552,8.46808510638298,1.3869346733668342,3.993701486154176
11467.txt,43,879,1351,20.441860465116278,1.5369738339021615,10.314198216789691
7420.txt,40,693,1099,17.325,1.5858585858585859,9.706631313131314
3646.txt,27,252,328,9.333333333333334,1.3015873015873016,3.315396825396828
3134.txt,53,820,1257,15.471698113207546,1.5329268292682927,8.377781868384723
5545.txt,51,615,862,12.058823529411764,1.4016260162601626,5.531539933046389
10755.txt,26,560,934,21.53846153846154,1.667857142857143,12.275329670329672
10769.txt,25,653,1069,26.12,1.6370597243491578,13.652904747320061
5541.txt,44,522,802,11.863636363636363,1.5363984674329503,7.047683733890633
13260.txt,47,882,1411,18.76595744680851,1.5997732426303855,10.418388092825783
12618.txt,34,357,498,10.5,1.3949579831932772,4.860504201680673
13274.txt,67,680,968,10.149253731343284,1.423529411764706,5.0643634767339805
6935.txt,49,1107,1784,22.591836734693878,1.6115627822944896,12.011338790258652
8918.txt,57,845,1282,14.824561403508772,1.5171597633136096,7.945818540433926
6921.txt,46,399,518,8.673913043478262,1.2982456140350878,3.0253852021357766
14057.txt,50,911,1287,18.22,1.4127332601536773,8.003852469813392
11891.txt,49,819,1166,16.714285714285715,1.4236874236874237,7.5609401709401745
10225.txt,69,1397,2410,20.246376811594203,1.725125268432355,12.46010135590759
14043.txt,49,836,1142,17.06122448979592,1.3660287081339713,7.012404062103311
9179.txt,26,551,908,21.192307692307693,1.6479128856624319,11.908448973893623
2986.txt,38,348,459,9.157894736842104,1.3189655172413792,3.4537931034482767
3440.txt,60,634,867,10.566666666666666,1.3675078864353312,4.5619263932702445
7815.txt,55,852,1276,15.49090909090909,1.4976525821596245,7.968845924029026
8298.txt,47,751,1155,15.97872340425532,1.5379494007989347,8.629717823044455
11852.txt,52,961,1454,18.48076923076923,1.5130072840790842,9.286178259825501
13089.txt,34,825,1298,24.264705882352942,1.5733333333333333,12.195921568627451
714.txt,47,495,722,10.53191489361702,1.4585858585858587,5.623440790887603
4273.txt,39,881,1340,22.58974358974359,1.5209988649262203,10.941889170231967
7008.txt,35,732,1215,20.914285714285715,1.6598360655737705,11.943494145199065
10437.txt,61,619,925,10.147540983606557,1.494345718901454,5.89934505680765
11701.txt,51,938,1360,18.392156862745097,1.4498933901918976,8.50776161210753
13664.txt,50,822,1171,16.44,1.424574209245742,7.467175669099756
9794.txt,40,640,955,16.0,1.4921875,8.0978125
5810.txt,52,717,1070,13.788461538461538,1.492329149232915,7.259099345563779
10392.txt,48,425,676,8.854166666666666,1.5905882352941176,6.543524509803923
1486.txt,41,619,936,15.097560975609756,1.5121163166397416,7.990045707080661
9233.txt,55,1269,1892,23.072727272727274,1.4909377462568951,10.770701769467731
4071.txt,46,413,578,8.978260869565217,1.3995157384987893,4.336024844720498
12988.txt,55,660,909,12.0,1.3772727272727272,5.221818181818183
8893.txt,54,767,1211,14.203703703703704,1.5788787483702738,8.438176638176639
14335.txt,67,816,1252,12.17910447761194,1.5343137254901962,7.14296166227685
2372.txt,48,507,708,10.5625,1.3964497041420119,4.901856508875742
9227.txt,45,794,1213,17.644444444444446,1.5277078085642317,9.141841029946825
3722.txt,50,907,1325,18.14,1.4608599779492835,8.541347739801544
12962.txt,46,813,1343,17.67391304347826,1.6519065190651907,10.618583881490991
10813.txt,22,437,649,19.863636363636363,1.4851258581235698,9.482666944039941
8110.txt,52,555,797,10.673076923076923,1.436036036036036,5.410994455994459
11502.txt,54,1088,1656,20.14814814814815,1.5220588235294117,10.026590413943357
8676.txt,41,363,488,8.853658536585366,1.3443526170798898,3.6377511254451385
8886.txt,54,813,1153,15.055555555555555,1.4182041820418205,6.865920459204595
8138.txt,40,737,1164,18.425,1.5793758480325644,10.04813500678426
14452.txt,52,744,1083,14.307692307692308,1.4556451612903225,7.023535980148882
10620.txt,56,638,980,11.392857142857142,1.536050156739812,6.864677563815494
6101.txt,43,592,852,13.767441860465116,1.4391891891891893,6.62406033940918
1108.txt,35,753,1178,21.514285714285716,1.5644090305444887,11.04545513185354
8892.txt,47,1152,1778,24.51063829787234,1.5434027777777777,11.936195330969266
6667.txt,58,1042,1641,17.96551724137931,1.5748560460652592,9.820197895294196
5811.txt,42,1044,1634,24.857142857142858,1.5651340996168583,12.32429666119322
13665.txt,48,617,863,12.854166666666666,1.3987034035656403,5.799283495407888
8474.txt,43,666,1005,15.488372093023257,1.509009009009009,8.101887701655144
1478.txt,42,875,1502,20.833333333333332,1.7165714285714286,12.582209523809528
4266.txt,57,855,1306,15.0,1.527485380116959,8.134327485380116
12553.txt,42,408,607,9.714285714285714,1.4877450980392157,5.6568207282913185
2978.txt,48,568,781,11.833333333333334,1.375,5.131666666666668
13936.txt,63,799,1127,12.682539682539682,1.4105131414267835,5.873420148201124
729.txt,55,1155,1777,21.0,1.5385281385281386,10.544632034632038
11106.txt,58,701,1074,12.086206896551724,1.5320970042796005,7.081503271188943
12427.txt,56,861,1253,15.375,1.4552845528455285,7.42485772357724
11890.txt,49,597,800,12.183673469387756,1.340033500837521,4.852191228250096
1929.txt,48,722,1102,15.041666666666666,1.5263157894736843,8.13635964912281
271.txt,54,611,802,11.314814814814815,1.3126022913256956,4.198336667272837
12802.txt,51,1147,1710,22.49019607843137,1.4908456843940714,10.548253585653963
6908.txt,42,512,759,12.19047619047619,1.482421875,6.534959077380954
11304.txt,59,1296,2198,21.966101694915253,1.6959876543209877,12.769772965055456
11476.txt,36,611,924,16.97222222222222,1.5122749590834696,8.704288961629388
4886.txt,42,890,1322,21.19047619047619,1.4853932584269662,9.990021401819153
14526.txt,50,913,1365,18.26,1.4950711938663745,8.99064008762322
4676.txt,52,661,988,12.711538461538462,1.4947049924357034,6.87790352612592
9344.txt,28,586,915,20.928571428571427,1.5614334470989761,10.78777181862506
1718.txt,57,756,1240,13.263157894736842,1.6402116402116402,8.804497354497354
10756.txt,31,476,751,15.35483870967742,1.5777310924369747,8.862065600433723
11460.txt,37,830,1246,22.43243243243243,1.5012048192771084,10.648541191794205
3127.txt,59,730,1015,12.372881355932204,1.3904109589041096,5.518544230322732
5224.txt,47,809,1194,17.21276595744681,1.4758961681087763,8.366425847513348
13263.txt,49,728,1070,14.857142857142858,1.4697802197802199,7.399120879120883
529.txt,57,713,1044,12.508771929824562,1.4642356241234222,6.441313697989717
9387.txt,37,612,937,16.54054054054054,1.5310457516339868,8.76174527468645
11886.txt,62,626,882,10.096774193548388,1.4089456869009584,4.872333298979697
6513.txt,51,568,745,11.137254901960784,1.3116197183098592,4.119269538801436
8270.txt,60,984,1373,16.4,1.3953252032520325,7.106837398373983
7631.txt,42,384,500,9.142857142857142,1.3020833333333333,3.248869047619049
13707.txt,24,438,671,18.25,1.5319634703196348,9.422168949771692
13920.txt,42,968,1548,23.047619047619047,1.5991735537190082,12.038343171979538
11879.txt,46,404,503,8.782608695652174,1.245049504950495,2.4389754627636684
10434.txt,47,842,1364,17.914893617021278,1.6199524940617578,10.333099004396828
4258.txt,47,621,828,13.212765957446809,1.3333333333333333,5.1641843971631225
7037.txt,64,751,1159,11.734375,1.5432756324900132,7.0797149633821554
11064.txt,53,635,930,11.981132075471699,1.4645669291338583,6.244719952458773
8476.txt,28,733,1162,26.178571428571427,1.5852660300136425,13.063996297018125
9783.txt,46,775,1183,16.847826086956523,1.5264516129032257,8.824302945301543
887.txt,39,756,1120,19.384615384615383,1.4814814814814814,9.257635327635327
677.txt,31,881,1412,28.419354838709676,1.6027241770715097,14.121500128153496
10150.txt,45,738,1154,16.4,1.5636856368563685,9.093490514905149
3709.txt,47,923,1379,19.638297872340427,1.494041170097508,9.50223899863996
12035.txt,47,632,990,13.446808510638299,1.5664556962025316,8.003964449232427
14493.txt,52,841,1303,16.173076923076923,1.549346016646849,8.838052227202052
